非建筑用地,公共管理与公共服务用地,工业用地,居住用地,公共设施用地,道路与交通设施用地,绿地广场用地,商业服务设施用地
0.0,5816.861768530827,8132.157488917656,81422.19019422441,0.0,47293.79201227518,3690.6220000145872,10015.403628211317
0.0,8229.483112714084,0.0,38625.01512434163,0.0,21957.43403672556,152.37189597573496,23797.6634480134
496.37773165449795,12.181452116402449,161.5140499968853,0.0,0.0,6692.373327176161,0.0,13225.458169458814
2992.488479737345,2411.497544061499,253.8041941789496,4202.11700669267,0.0,12042.292212683982,28.19800318838193,12029.142404038465
0.0,4468.359702217402,0.0,42158.2290381449,0.0,42375.184541898976,7734.439953750625,29539.909518661523
0.0,13505.957763093691,69.97661714644704,2243.803016002402,7260.543059813785,35560.32303131732,4858.980093086719,41270.31573975565
3096.302972729414,8639.834790512406,0.0,247090.54498092036,0.0,80872.1227419054,37821.33384590952,5315.342470744089
20.734670915707746,24383.02371266959,394.6347190020699,436646.639256568,47.77914999404028,174817.24619310698,122802.3847122285,26244.510204284295
0.0,1489.4129490526377,16940.115065802325,49.31059746598451,0.0,13538.189680496991,0.0,28420.534821073496
0.0,889.1559867037452,3770.4195050385506,19242.48363985469,0.0,26149.541751562825,810.8730999753676,25792.26314459707
0.0,13598.841819735573,399.8287346751553,2002.8426062279289,0.0,15094.228413135284,4700.379285743218,21831.201678994184
1254.7543435151708,57913.61516818036,0.0,7223.738993289799,0.0,37398.97852365801,6283.417190854407,19131.681954713087
1844.464816447983,2814.6902348457506,0.0,514.4974577622294,0.0,22511.486156577972,0.0,39630.384891510446
50.33541164343243,8135.823233719421,2215.4272005695784,5203.0240852405,0.0,71456.15771919444,31.598521270299333,8447.759229306619
0.0,218.075911457108,0.0,5041.749365100009,0.0,20953.2065655333,604.6241181887721,50292.10500859551
125.22154276896576,5869.200521302804,4734.110186626547,16225.28897072821,0.0,20452.65328757357,4132.887686924974,25368.37928386747
3793.3768836752165,8085.870593204532,2444.37369896181,11064.27048315593,757.1798286283479,34512.66045217017,0.0,47736.114323053655
505.59819967314127,6801.272557101758,417.04679083527606,2683.9451331629416,332.6927146499521,22792.614099943356,14.950831302717118,42467.188402550804
0.0,39525.43487246544,0.0,7032.735210052466,281.28395001687124,16734.893992563702,12812.53817145121,5244.646182088842
4982.46352653935,11629.919655960739,3525.2438800355712,7992.049806577528,0.0,52230.74528872632,11212.009640042295,33303.64415857589
892.7914593086595,6654.30821492766,3951.964014057782,12218.825670600703,5920.334230124531,31795.303891803385,4724.422782845429,37815.85196245195
4.286112847515289,7114.786733700656,0.0,6591.01139784396,435.09798102753103,26417.334674978694,3689.302316013569,39887.39339698729
0.0,4043.1426817864403,0.0,15739.2779751507,104.92465000429974,25110.182901573036,9167.120433841968,54914.47392661518
3812.4153090304353,14672.481223557741,0.0,29236.72541869248,58.700949997247385,64782.36398555427,0.0,16847.399639645962
284.8289628303187,10264.629133933438,20.818978582871704,38130.79026859424,0.0,21069.7822004813,1154.680413198257,6119.241383366972
0.0,3166.664393138709,0.0,0.0,0.0,16594.585672594578,238.95369750627972,44268.60485516878
4105.690209242763,5683.388884089623,0.0,3924.676819771432,0.0,48492.281299850525,22407.077451684825,47169.30253439396
708.5622943584069,2852.97966852631,0.0,80986.62982092217,0.0,41191.506981808416,4721.1243630471245,21475.03293686913
8039.961584445536,6004.051494321034,0.0,31445.21121545905,0.0,31428.550460281484,0.0,16390.39895196628
2932.3247713484952,5438.8989396555235,1277.975145001822,42622.40878604823,30.35949999762885,21083.28231142539,2051.523230845052,13206.294138625391
4773.504899853891,11275.52640959543,2071.767664990899,5524.943488297562,265.15029895766224,36275.17467202596,165.42876597416193,53046.13755777358
19464.28448503797,7080.801992094269,3653.983505001117,6727.801991072843,2237.0672775223934,27568.032823033052,3075.2724637054625,22680.205562071773
0.0,25713.011454080246,1468.9827996810022,43139.24282713326,0.0,88920.2541766129,18882.74662383188,2591.8070662258287
0.0,1073.9137933578045,0.0,42704.15468189662,0.0,24792.54371498667,63244.97372419899,8917.802527870528
0.0,450.185683766553,0.0,27070.044340278127,0.0,19048.80231163944,2774.866530914983,12673.342391071852
0.0,4085.083130790189,0.0,78404.91725438744,9.55628121205154,34879.593239444075,12124.742130673292,9004.034769039314
1346.0429649639696,8630.738644428204,461.28949998804086,3090.791789751628,0.0,35759.789771662785,0.0,50452.93884364261
0.0,93.98359903630464,5830.9067571272535,15006.613675864544,2219.7150400168944,24950.72273576074,0.0,21957.83988051107
12.597419839734382,605.5421098796431,2677.999112543515,0.0,6165.921592221024,10845.328471248891,0.0,11612.250188895028
0.0,5429.774608464687,7124.22247380457,28183.69650279017,2981.372309345088,21770.660740024003,6796.624531343165,6458.59780072248
0.0,26.43465000008549,0.0,24960.62737751649,0.0,28113.882519053062,0.0,22767.54017676272
0.0,80.67817008373527,1528.3986499891498,379.6382000122994,110.40976198288104,12370.095514157896,29.096171851941016,25588.30209328814
0.0,1276.0587918349638,0.0,4833.050933880002,0.0,22942.164864391776,0.0,19667.31712431209
2444.273369145045,51.13286121311201,1581.7336665225453,37156.20477262647,0.0,24712.828780866043,221.1261000081558,16652.739503996927
1413.7737399106281,12456.961358437871,9789.124721452312,203480.4424941992,1704.2985598686994,143702.68773987325,44539.78446741199,20548.183840523503
0.0,17652.18307434924,0.0,0.0,62.093500002851705,20783.093095181546,1393.3669664806778,32873.60655988853
0.0,1135.0621733953592,50.69950000505149,3518.692090500483,136.4372999924513,20088.492776570674,19349.000626048717,28120.898570455167
